,trdwk,mkt_rf,smb,hml,umd,rf
754,2009-02-20,-0.013474787,0.0036492205,0.0037180948,0.0048222609,0.000428
755,2009-02-27,-0.116946715,-0.007946052,0.0071765661,0.0333127241,0.000428
756,2009-03-06,0.0805417772,0.0286277233,0.0184489888,-0.02167827,0.000428
757,2009-03-13,-0.03339109,0.0132854559,-0.011732587,0.0001595978,0.000428
758,2009-03-20,0.0868163226,-0.012717081,-0.018088558,-0.041709089,0.000428
759,2009-03-27,0.0407752519,0.0042771956,-0.000319711,-0.015624996,0.000428
760,2009-04-03,0.0188931916,0.0089908323,-0.008670494,-0.005519078,0.000428
761,2009-04-10,0.018744386,0.0185784367,-0.014538694,0.0111586532,0.000428
762,2009-04-17,0.0348642135,0.0028889041,0.0085718795,-0.010361552,0.000428
763,2009-04-24,-0.023588302,0.0006457143,0.0088996106,-0.002567457,0.000428
764,2009-05-01,0.0170787591,-0.00631229,0.0016366809,0.0229597015,0.000428
765,2009-05-08,0.0558717931,0.0103069578,0.0089467237,-0.017771914,0.000428
766,2009-05-15,0.0052023007,0.0076171364,-0.006085694,-0.004346875,0.000428
767,2009-05-22,-0.01420103,0.0135099008,-0.001860445,-0.000152483,0.000428
768,2009-05-29,0.0036463414,0.0056282417,-0.003603479,0.0013352094,0.000428
769,2009-06-05,0.0358774956,-0.016141795,-0.007346792,-0.018201648,0.000428
770,2009-06-12,-0.015652754,0.0151584899,-0.003298921,-0.014814416,0.000428
771,2009-06-19,0.0436627161,-0.010634127,0.0052148445,0.0113301611,0.000428
772,2009-06-26,0.0104452977,-0.00172187,0.0046241651,0.0086405638,0.000428
773,2009-07-03,0.0464615108,-0.02449797,0.0024260247,0.0311269495,0.000428
774,2009-07-10,0.0404658227,0.0063435124,0.0048463601,-0.012004043,0.000428
775,2009-07-17,0.0363648272,0.0084248789,0.0076461523,-0.00503727,0.000428
776,2009-07-24,0.0315336656,-0.023217811,0.0233408827,-0.028984194,0.000428
777,2009-07-31,0.0121258966,-0.004438188,0.0202670642,-0.045999561,0.000428
778,2009-08-07,-0.022824512,0.0155117701,-0.024919524,-0.053133311,0.000428
779,2009-08-14,-0.065577413,-0.02120091,-0.002148218,0.030394159,0.000428
780,2009-08-21,-0.040071992,0.0065576321,-0.008415394,-0.033989227,0.000428
781,2009-08-28,-0.00565991,0.0394691006,-0.021969473,-0.012042781,0.000428
782,2009-09-04,-0.008446876,-0.003637853,-0.003491738,0.0068490579,0.000428
783,2009-09-11,0.0470964849,-0.008330135,0.003293403,0.0242173332,0.000428
784,2009-09-18,0.0093279693,0.0318596415,-0.009348085,0.0056238199,0.000428
785,2009-09-25,-0.052953075,0.0028665643,-0.011000173,-0.018745136,0.000428
786,2009-10-02,-0.029461815,-0.024487286,-0.013308929,-0.003602646,0.000428
787,2009-10-09,0.0523075633,-0.002067704,0.0051802672,0.0198251139,0.000428
788,2009-10-16,0.0301309625,0.0211830291,0.0169928409,0.0310139335,0.000428
789,2009-10-23,0.0456022774,0.0012131417,0.0062429567,0.0091010875,0.000428
790,2009-10-30,-0.030919124,0.0073031046,-0.015388529,0.0081514703,0.000428
791,2009-11-06,0.0680135143,0.0136554464,0.0046264249,-0.00221296,0.000428
792,2009-11-13,0.0172283625,0.0177972098,-0.009705985,0.000789123,0.000428
793,2009-11-20,0.0448956718,0.0223835759,0.0133573523,0.001189422,0.000428
794,2009-11-27,-0.060580003,-0.010939818,-0.007536406,-0.008903306,0.000428
795,2009-12-04,0.0702292885,0.0096797613,0.0236886624,0.0047186791,0.000428
796,2009-12-11,-0.005165065,0.0206412391,-0.000580431,0.0026795065,0.000428
797,2009-12-18,-0.056943754,-0.018030145,0.0080780715,-0.044221093,0.000428
798,2009-12-25,0.0318586567,0.0149726528,-0.005065121,0.011280323,0.000428
799,2010-01-01,0.0292515362,-0.003676215,0.0042443042,-0.014574211,0.000428
800,2010-01-08,-0.019266893,0.0243681726,-0.01109695,-0.006795782,0.000428
801,2010-01-15,0.0294371892,0.0332791973,-0.012298548,-0.021704254,0.000428
802,2010-01-22,-0.047956495,0.0094590446,0.0001591324,-0.026406723,0.000428
803,2010-01-29,-0.040136153,5.91423e-05,-0.020674074,-0.009941595,0.000428
804,2010-02-05,-0.020254366,0.0099527599,0.0036281295,0.002563997,0.000428
805,2010-02-12,0.0282718754,-0.009179681,-0.001817767,0.0065279378,0.000428
806,2010-02-26,0.0305564053,0.0362707326,0.005415158,0.0213240768,0.000428
807,2010-03-05,-0.010004864,0.0045896799,-0.002064599,-0.009658939,0.000428
808,2010-03-12,-0.017560567,0.0012290389,0.0084228228,-0.015992575,0.000428
809,2010-03-19,0.0278416425,0.0159866554,0.0085182725,0.004013,0.000428
810,2010-03-26,-0.000316479,0.0104943033,-0.010858844,0.009500748,0.000428
811,2010-04-02,0.0351356698,0.0010022932,-0.00224054,0.007950754,0.000428
812,2010-04-09,0.0030180032,0.024740118,-0.012456127,0.038227384,0.000428
813,2010-04-16,-0.005506732,5.83349e-05,-0.006457146,0.0102483976,0.000428
814,2010-04-23,-0.032011872,0.0276161066,-0.041175484,0.0550500764,0.000428
815,2010-04-30,-0.065461681,-0.041550245,0.0128165338,-0.038580194,0.000428
816,2010-05-07,-0.051884843,0.0417373713,-0.030511925,0.0674085238,0.000428
817,2010-05-14,-0.012524899,-0.040421749,0.008869324,-0.048072235,0.000428
818,2010-05-21,-0.042352229,-0.021613899,-0.017288857,0.005187025,0.000428
819,2010-05-28,0.0465329661,0.028141378,-0.007066546,0.0399569848,0.000428
820,2010-06-04,-0.035541252,0.0041264922,-0.018719094,0.0085965712,0.000428
821,2010-06-11,0.0171437973,0.0180936169,-0.013355025,0.0225461212,0.000428
822,2010-06-18,-0.038736508,-0.014522404,0.0231747181,-0.049877094,0.000428
823,2010-06-25,0.0121715017,0.0103614824,0.0067263546,-0.002258223,0.000428
824,2010-07-02,-0.092009191,-0.026805847,0.0087913795,-0.025565431,0.000428
825,2010-07-09,0.0561637407,0.0044856912,-0.009079308,0.0184673146,0.000428
826,2010-07-16,-0.011437597,0.0051397611,-0.003471704,-0.005923408,0.000428
827,2010-07-23,0.0740343894,-0.003304207,-0.007575335,-0.008900869,0.000428
828,2010-07-30,0.0388525848,0.007668501,0.0051070253,0.0015772683,0.000428
829,2010-08-06,0.0241993068,0.0118199388,-0.021762824,0.0335172019,0.000428
830,2010-08-13,-0.010011016,0.0063279329,-0.014333275,0.0124498585,0.000428
831,2010-08-20,0.0121365108,0.0026244276,-0.000526397,-0.008868707,0.000428
832,2010-08-27,0.0016139565,0.0166069327,-0.010032818,0.030326358,0.000428
833,2010-09-03,0.0402743087,0.0182032411,-0.018739435,0.0357370966,0.000428
834,2010-09-10,0.0105192975,-0.003014523,-0.011509524,0.0179078274,0.000428
835,2010-09-17,-0.018168225,-0.010573383,-0.004253512,0.0109754288,0.000428
836,2010-09-24,-0.007226235,-0.006284148,0.0041448307,-0.006230907,0.000428
837,2010-10-01,0.0274521109,-0.006424259,-0.014364028,0.0109620818,0.000428
838,2010-10-08,0.029702639,-0.009093125,-0.004529159,-0.004290997,0.000428
839,2010-10-15,0.036442111,-0.055007955,0.0449725264,-0.131650931,0.000428
840,2010-10-22,0.0294766745,0.0008699222,-0.027056977,0.0339602419,0.000475
841,2010-10-29,0.0166836242,0.0258540141,-0.009122974,0.0392238024,0.000475
842,2010-11-05,0.0409468544,0.0146769752,0.0046879412,0.0060097182,0.000475
843,2010-11-12,-0.049416927,0.0070565587,-0.019703704,0.0073938468,0.000475
844,2010-11-19,-0.037034582,0.035649337,-0.020139857,0.0520899115,0.000475
845,2010-11-26,0.0137294646,0.0156596347,-0.024560316,0.0378377635,0.000475
846,2010-12-03,-0.01542967,0.0010224322,0.0149748822,-0.026271411,0.000475
847,2010-12-10,-0.003105541,-0.00631155,0.0046542872,-0.001257683,0.000475
848,2010-12-17,0.0310270478,0.0107822993,-0.008726536,0.0109095399,0.000475
849,2010-12-24,-0.030260587,-0.008838601,0.0209133961,-0.04009527,0.000522
850,2010-12-31,-0.007931942,-0.008584325,-0.014615241,0.031020949,0.000522
851,2011-01-07,0.0052512897,0.0105196523,0.0119734285,-0.022811541,0.000522
852,2011-01-14,-0.02586612,-0.011457937,0.0191092479,-0.062435433,0.000522
853,2011-01-21,-0.033023596,0.0004707703,0.0170148721,-0.019533631,0.000522
854,2011-01-28,0.0149732059,-0.019478781,0.0084048356,0.0034708926,0.000522
855,2011-02-04,0.0181196756,0.0004302535,0.00145917,0.0062372218,0.000522
856,2011-02-11,0.0170830759,0.016460508,-0.010298891,0.0087878665,0.000569
857,2011-02-18,0.0289518229,0.0064273162,0.0012274826,0.0169070688,0.000569
858,2011-02-25,-0.001005992,0.0172450378,-0.011993942,0.0054559929,0.000569
859,2011-03-04,0.0166654442,0.0002587516,0.0131131609,-0.017491586,0.000569
860,2011-03-11,0.0035603634,0.0153138696,-0.006609917,0.0139449354,0.000569
