Trddt,Yield
2005/4/15,2.2807
2005/4/18,2.3754
2005/4/19,2.563
2005/4/20,2.3753
2005/4/21,2.2597
2005/4/22,2.1928
2005/4/25,2.1914
2005/4/26,2.5508
2005/4/27,2.4512
2005/4/28,2.5221
2005/4/29,2.4059
2005/4/30,2.4874
2005/5/8,2.4206
2005/5/9,2.4666
2005/5/10,2.3777
2005/5/11,2.4811
2005/5/12,2.385
2005/5/13,2.3357
2005/5/16,2.3107
2005/5/17,2.3767
2005/5/18,2.3574
2005/5/19,2.3469
2005/5/20,2.2944
2005/5/23,2.1622
2005/5/24,2.116
2005/5/25,2.2366
2005/5/26,2.0914
2005/5/27,2.1814
2005/5/30,2.2197
2005/5/31,2.2108
2005/6/1,2.077
2005/6/2,2.1072
2005/6/3,2.0451
2005/6/6,2.0742
2005/6/7,2.1112
2005/6/8,2.1107
2005/6/9,1.9285
2005/6/10,1.9584
2005/6/13,1.9117
2005/6/14,1.8893
2005/6/15,1.9648
2005/6/16,1.7804
2005/6/17,2.0826
2005/6/20,2.2262
2005/6/21,1.8196
2005/6/22,1.8279
2005/6/23,2.533
2005/6/24,2.124
2005/6/27,1.964
2005/6/28,1.983
2005/6/29,1.8985
2005/6/30,1.8718
2005/7/1,1.9569
2005/7/4,1.8262
2005/7/5,1.8136
2005/7/6,1.8411
2005/7/7,1.862
2005/7/8,1.8114
2005/7/11,1.8583
2005/7/12,1.8403
2005/7/13,1.7824
2005/7/14,1.9035
2005/7/15,1.3176
2005/7/18,1.3122
2005/7/19,1.3525
2005/7/20,1.4077
2005/7/21,1.4127
2005/7/22,1.3977
2005/7/25,1.287
2005/7/26,1.277
2005/7/27,1.1799
2005/7/28,1.3217
2005/7/29,1.3431
2005/8/1,1.4973
2005/8/2,1.3532
2005/8/3,1.6523
2005/8/4,1.3144
2005/8/5,1.437
2005/8/8,1.4057
2005/8/9,1.31
2005/8/10,1.4809
2005/8/11,1.342
2005/8/12,1.4174
2005/8/15,1.3843
2005/8/16,1.4075
2005/8/17,1.3024
2005/8/18,1.3448
2005/8/19,1.2558
2005/8/22,1.3837
2005/8/23,1.3483
2005/8/24,1.4431
2005/8/25,1.1827
2005/8/26,1.1534
2005/8/29,1.0687
